,geocode
615,"Concordia, Distrito Suburbios, Departamento Concordia, Entre Ríos, Argentina"
616,"Córdoba, Municipio de Córdoba, Pedanía Capital, Departamento Capital, Córdoba, X5000, Argentina"
618,"Mar del Plata, Partido de General Pueyrredón, Buenos Aires, MAR DEL PLATA, Argentina"
619,"Mendoza, Argentina"
620,"Neuquén, Argentina"
621,"Pergamino, Partido de Pergamino, Buenos Aires, Argentina"
622,"Posadas, Municipio de Posadas, Departamento Capital, Misiones, Argentina"
623,"Rafaela, Municipio de Rafaela, Departamento Castellanos, Santa Fe, S2300, Argentina"
624,"Reconquista, Municipio de Reconquista, Departamento General Obligado, Santa Fe, Argentina"
625,"Río Cuarto, Municipio de Río Cuarto, Pedanía Río Cuarto, Departamento Río Cuarto, Córdoba, X5800, Argentina"
626,"Rosario, Municipio de Rosario, Gran Rosario, Departamento Rosario, Santa Fe, S2000, Argentina"
627,"Salta, Argentina"
628,"San Juan, Argentina"
629,"San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina"
630,"San Rafael, Distrito Ciudad de San Rafael, Departamento San Rafael, Mendoza, Argentina"
632,"Villa María, Pedanía Villa María, Departamento General San Martín, Córdoba, X5900, Argentina"
634,"General Pico, Municipio de General Pico, Departamento Maracó, La Pampa, L6360, Argentina"
635,"Municipio de Santa Rosa, Departamento Capital, La Pampa, Argentina"
639,"La Plata, Partido de La Plata, Buenos Aires, Argentina"
646,"Río Gallegos, Municipio de Río Gallegos, Güer Aike, Santa Cruz, Argentina"
686,"Paso de Los Libres, Municipio de Fuerte Esperanza, Departamento General Güemes, Chaco, Argentina"
703,"Avellaneda, Partido de Avellaneda, Buenos Aires, 1870, Argentina"
704,"Boulogne Sur Mer, Partido de San Isidro, Buenos Aires, Argentina"
721,"Concepción del Uruguay, Distrito Molino, Departamento Uruguay, Entre Ríos, Argentina"
723,"Florida, Vicente López, Partido de Vicente López, Buenos Aires, Argentina"
725,"Lomas de Zamora, Partido de Lomas de Zamora, Buenos Aires, B1832, Argentina"
728,"Olivos, Vicente López, Partido de Vicente López, Buenos Aires, Argentina"
729,"Resistencia, Municipio de Resistencia, Departamento San Fernando, Chaco, Argentina"
732,"San Fernando, Partido de San Fernando, Buenos Aires, 1646, Argentina"
733,"San Isidro, Partido de San Isidro, Buenos Aires, Argentina"
734,"General San Martín, Partido de General San Martín, Buenos Aires, 1650, Argentina"
737,"Vicente López, Partido de Vicente López, Buenos Aires, Argentina"
745,"Santo Tomé, Municipio de Santo Tomé, Departamento Santo Tomé, Corrientes, 3340, Argentina"
760,"Paraná Entre Ríos (toma vieja), Blas Parera, Paraná, Municipio de Paraná, Entre Ríos, 3102, Argentina"
777,"General Pacheco, Partido de Tigre, Buenos Aires, 1617, Argentina"
778,"Pago Pago, Maʻopūtasi County, Eastern District, American Samoa, United States"
779,"Fagatogo, Maʻopūtasi County, Eastern District, American Samoa, 96799, United States"
780,"Linz, Oberösterreich, Österreich"
782,"Wien, Österreich"
788,"Enns, Bezirk Linz-Land, Oberösterreich, 4470, Österreich"
789,"Freistadt, Bezirk Freistadt, Oberösterreich, 4240, Österreich"
790,"Gmunden, Bezirk Gmunden, Oberösterreich, 4810, Österreich"
791,"Grieskirchen, Bezirk Grieskirchen, Oberösterreich, 4710, Österreich"
792,
794,
795,"Obernberg am Inn, Bezirk Ried im Innkreis, Oberösterreich, 4982, Österreich"
796,"Perg, Bezirk Perg, Oberösterreich, 4320, Österreich"
797,"Raab, Bezirk Schärding, Oberösterreich, 4760, Österreich"
798,"Schärding, Innweg, Vorstadt, Schärding, Bezirk Schärding, Oberösterreich, 4780, Österreich"
799,"Schwanenstadt, Bezirk Vöcklabruck, Oberösterreich, 4690, Österreich"
800,"Sankt Florian, Bezirk Linz-Land, Oberösterreich, 4490, Österreich"
801,"Steyr, Oberösterreich, 4400, Österreich"
802,"Vöcklabruck, Sportplatzstraße, Vöcklabruck, Bezirk Vöcklabruck, Oberösterreich, 4840, Österreich"
803,"Wels, Oberösterreich, 4600, Österreich"
806,"Innsbruck, Tirol, Österreich"
808,"Salzburg, 5020, Österreich"
809,"Hard, Marktgemeinde Hard, Bezirk Bregenz, Vorarlberg, 6971, Österreich"
811,"Klagenfurt, Klagenfurt am Wörthersee, Kärnten, 9020, Österreich"
821,"Jungholz, Bezirk Reutte, Tirol, 6691, Österreich"
823,"Stadt Bludenz, Bezirk Bludenz, Vorarlberg, 6700, Österreich"
824,"Stadt Bregenz, Bezirk Bregenz, Vorarlberg, Österreich"
825,"Stadt Dornbirn, Bezirk Dornbirn, Vorarlberg, Österreich"
826,"Gemeinde Ehrwald, Bezirk Reutte, Tirol, 6632, Österreich"
827,"Stadt Feldkirch, Bezirk Feldkirch, Vorarlberg, Österreich"
828,
829,"Stadt Hohenems, Bezirk Dornbirn, Vorarlberg, 6845, Österreich"
830,"Stadt Imst, Bezirk Imst, Tirol, 6460, Österreich"
832,"Kirchberg, Kirchberg-Thening, Bezirk Linz-Land, Oberösterreich, 4062, Österreich"
833,"Kitzbühel, Hahnenkammstraße, Stadt Kitzbühel, Bezirk Kitzbühel, Tirol, 6370, Österreich"
834,"Stadt Kufstein, Bezirk Kufstein, Tirol, 6330, Österreich"
835,"Stadt Landeck, Bezirk Landeck, Tirol, 6500, Österreich"
836,"Stadt Lienz, Bezirk Lienz, Tirol, 9900, Österreich"
837,"Marktgemeinde Mayrhofen, Bezirk Schwaz, Tirol, Österreich"
838,"Bezirk Reutte, Tirol, Österreich"
839,"Schwaz, Stadt Schwaz, Bezirk Schwaz, Tirol, 6130, Österreich"
840,"Gemeinde Seefeld in Tirol, Bezirk Innsbruck-Land, Tirol, 6100, Österreich"
841,
842,"Marktgemeinde St. Johann in Tirol, Bezirk Kitzbühel, Tirol, 6380, Österreich"
844,
845,
846,"Marktgemeinde Wolfurt, Bezirk Bregenz, Vorarlberg, Österreich"
852,"Kaprun, Bezirk Zell am See, Salzburg, 5710, Österreich"
857,"Zell am See, Bezirk Zell am See, Salzburg, 5700, Österreich"
860,"Graz, Steiermark, 8011, Österreich"
876,"Villach, Kärnten, Österreich"
884,"Spittal/Drau, Zur Seilbahn, Spittal an der Drau, Bezirk Spittal an der Drau, Kärnten, 9800, Österreich"
887,"Wolfsberg, Bezirk Wolfsberg, Kärnten, 9400, Österreich"
914,"Mattersburg, Bezirk Mattersburg, Burgenland, 7210, Österreich"
926,"Gmünd, Moostratte, Gmünd in Kärnten, Bezirk Spittal an der Drau, Kärnten, 9853, Österreich"
933,"Atzenbrugg, Gemeinde Atzenbrugg, Bezirk Tulln, Niederösterreich, 3452, Österreich"
934,"Baden, Gemeinde Baden, Bezirk Baden, Niederösterreich, 2500, Österreich"
935,"Gemeinde Bernstein, Bezirk Oberwart, Burgenland, 7434, Österreich"
936,"Brunn am Gebirge, Bezirk Mödling, Niederösterreich, 2345, Österreich"
937,"Raiffeisen-Lagerhaus Duernkrut reg.Gen.mbH, 107, Lagerhausstraße, Dürnkrut, Gemeinde Dürnkrut, Bezirk Gänserndorf, Niederösterreich, 2263, Österreich"
938,"Eisenstadt, Burgenland, Österreich"
939,"Gemeinde Ernsthofen, Bezirk Amstetten, Niederösterreich, 4432, Österreich"
940,"Gemeinde Gablitz, Bezirk St. Pölten, Niederösterreich, 3003, Österreich"
941,"Gänserndorf-Stadt, Scheunengasse, Gemeinde Gänserndorf, Bezirk Gänserndorf, Niederösterreich, 2230, Österreich"
942,"Gnadendorf, Gemeinde Gnadendorf, Bezirk Mistelbach, Niederösterreich, 2152, Österreich"
943,"Großengersdorf, Gemeinde Großengersdorf, Bezirk Mistelbach, Niederösterreich, 2212, Österreich"
944,"Güssing, Schulstraße, Mühlwinkel, Güssing, Gemeinde Güssing, Bezirk Güssing, Burgenland, 7540, Österreich"
945,"Gemeinde Haag, Bezirk Amstetten, Niederösterreich, 3350, Österreich"
946,"Haidershofen, Bezirk Amstetten, Niederösterreich, 4431, Österreich"
947,
948,"Katastralgemeinde Himberg, Gemeinde Himberg, Bezirk Bruck an der Leitha, Niederösterreich, 2325, Österreich"
949,"Hohenau, Bahnstraße, Gemeinde Hohenau an der March, Bezirk Gänserndorf, Niederösterreich, 2273, Österreich"
950,"Gemeinde Hornstein, Bezirk Eisenstadt-Umgebung, Burgenland, 7053, Österreich"
951,"Jennersdorf, Bezirk Jennersdorf, Burgenland, 8380, Österreich"
952,"Gemeinde Klosterneuburg, Bezirk Tulln, Niederösterreich, 3400, Österreich"
953,"Laa an der Thaya, Gemeinde Laa an der Thaya, Bezirk Mistelbach, Niederösterreich, 2136, Österreich"
954,"Ladendorf, Gemeinde Ladendorf, Bezirk Mistelbach, Niederösterreich, 2126, Österreich"
955,"Langenlebarn, Fliegerhorst Brumowski, Langenlebarn - Unteraigen, Gemeinde Tulln an der Donau, Bezirk Tulln, Niederösterreich, 3430, Österreich"
956,"Altmanns bei Mistelbach Unterort, Altmanns, Gemeinde Asparn an der Zaya, Bezirk Mistelbach, Niederösterreich, 2151, Österreich"
957,"Moedling / Babenbergerhof, Badstraße, Schöffelstadt, Gemeinde Mödling, Bezirk Mödling, Niederösterreich, 2340, Österreich"
958,"Gemeinde Neudorf im Weinviertel, Bezirk Mistelbach, Niederösterreich, 2135, Österreich"
959,"Niederkreuzstetten, Kreuzstetten, Bezirk Mistelbach, Niederösterreich, 4124, Österreich"
960,"Gemeinde Perchtoldsdorf, Bezirk Mödling, Niederösterreich, 2380, Österreich"
961,"Gemeinde Pinkafeld, Bezirk Oberwart, Burgenland, 7423, Österreich"
962,"Gemeinde Purbach, Bezirk Eisenstadt-Umgebung, Burgenland, 7083, Österreich"
963,"Gemeinde Purkersdorf, Bezirk St. Pölten, Niederösterreich, 3002, Österreich"
964,"Rechnitz, Bezirk Oberwart, Burgenland, 7471, Österreich"
965,"Reidling, Wörschach, Bezirk Liezen, Steiermark, 8942, Österreich"
966,"Rudersdorf, Bezirk Jennersdorf, Burgenland, 7571, Österreich"
967,"Flughafen Wien-Schwechat, B9, Gemeinde Schwechat, Bezirk Bruck an der Leitha, Niederösterreich, 1300, Österreich"
969,"Gemeinde Seitenstetten, Bezirk Amstetten, Niederösterreich, 3353, Österreich"
970,"Siegendorf/Cindrof, Bezirk Eisenstadt-Umgebung, Burgenland, 7011, Österreich"
971,"Sieghartskirchen, Gemeinde Sieghartskirchen, Bezirk Tulln, Niederösterreich, 3443, Österreich"
972,
973,"Sankt Michael im Burgenland, Bezirk Güssing, Burgenland, 7535, Österreich"
974,
975,
976,"St. Pölten/Landhaus, Rennbahnstraße, St. Pölten, Niederösterreich, 3100, Österreich"
977,"Gemeinde Sankt Valentin, Bezirk Amstetten, Niederösterreich, 4300, Österreich"
978,"Burgruine Staatz, Bergstraße, Staatz, Gemeinde Staatz, Bezirk Mistelbach, Niederösterreich, 2134, Österreich"
979,"Gemeinde Stockerau, Bezirk Korneuburg, Niederösterreich, 2000, Österreich"
980,"Gemeinde Strengberg, Bezirk Amstetten, Niederösterreich, 3314, Österreich"
981,"Stronsdorf, Gemeinde Stronsdorf, Bezirk Mistelbach, Niederösterreich, 2153, Österreich"
982,"Gemeinde Tulln an der Donau, Bezirk Tulln, Niederösterreich, 3430, Österreich"
984,"Gemeinde Wiener Neudorf, Bezirk Mödling, Niederösterreich, 2351, Österreich"
985,"Gemeinde Wiener Neustadt, Wiener Neustadt, Niederösterreich, Österreich"
986,
987,"Gemeinde Wolkersdorf im Weinviertel, Bezirk Mistelbach, Niederösterreich, 2120, Österreich"
988,"Zistersdorf, Gemeinde Zistersdorf, Bezirk Gänserndorf, Niederösterreich, 2225, Österreich"
989,"Zwentendorf, Gemeinde Gnadendorf, Bezirk Mistelbach, Niederösterreich, 2152, Österreich"
1004,"Gurk, Bezirk Sankt Veit an der Glan, Kärnten, 9342, Österreich"
1039,
1042,"Friesach, Bezirk Sankt Veit an der Glan, Kärnten, 9360, Österreich"
1045,"St.Veit/Glan, Altglandorf, Sankt Veit an der Glan, Bezirk Sankt Veit an der Glan, Kärnten, 9300, Österreich"
1052,
1057,"Krems, Weinzierl, Krems an der Donau, Niederösterreich, Österreich"
1066,
1078,"Hainburg, Gemeinde Hainburg an der Donau, Bezirk Bruck an der Leitha, Niederösterreich, 2410, Österreich"
1080,"Altheim, Bezirk Braunau am Inn, Oberösterreich, 4950, Österreich"
1081,"Amstetten, Bezirk Amstetten, Niederösterreich, Österreich"
1082,"Attnang-Puchheim, Bezirk Vöcklabruck, Oberösterreich, 4800, Österreich"
1083,"Bad Aussee, Bezirk Liezen, Steiermark, 8990, Österreich"
1084,"Bad Gastein, Bezirk St. Johann im Pongau, Salzburg, 5640, Österreich"
1085,"Bad Hofgastein, Bezirk St. Johann im Pongau, Salzburg, 5630, Österreich"
1086,"Bad Ischl, Bezirk Gmunden, Oberösterreich, 4820, Österreich"
1087,"Bischofshofen, Bezirk St. Johann im Pongau, Salzburg, 5500, Österreich"
1088,"Braunau am Inn, Bezirk Braunau am Inn, Oberösterreich, 5280, Österreich"
1089,"Ebensee am Traunsee, Bezirk Gmunden, Oberösterreich, 4802, Österreich"
1090,"Eferding, Bezirk Eferding, Oberösterreich, 4070, Österreich"
1094,"Gallneukirchen, Bezirk Urfahr-Umgebung, Oberösterreich, 4210, Österreich"
1097,"Haid, Mauthausen, Bezirk Perg, Oberösterreich, 4310, Österreich"
1098,"Hallein, Bezirk Hallein, Salzburg, 5400, Österreich"
1099,"Kirchdorf an der Krems, Bezirk Kirchdorf, Oberösterreich, 4560, Österreich"
1102,"Kremsmünster, Konviktshof, Unterburgfried, Kremsmünster, Bezirk Kirchdorf, Oberösterreich, 4550, Österreich"
1103,"Laakirchen, Bezirk Gmunden, Oberösterreich, 4663, Österreich"
1104,"Lenzing, Bezirk Vöcklabruck, Oberösterreich, 4860, Österreich"
1105,"Leonding, Bezirk Linz-Land, Oberösterreich, 4060, Österreich"
1108,"Marchtrenk, Bezirk Wels-Land, Oberösterreich, 4614, Österreich"
1109,"Mattighofen, Bezirk Braunau am Inn, Oberösterreich, 5230, Österreich"
1110,"Ottensheim, Bezirk Urfahr-Umgebung, Oberösterreich, 4100, Österreich"
1112,"Ried im Innkreis, Bezirk Ried im Innkreis, Oberösterreich, 4910, Österreich"
1113,"Rohrbach, Gemeinde Ziersdorf, Bezirk Hollabrunn, Niederösterreich, 3710, Österreich"
1114,"Saalfelden, Kaiserallee, Dorfheim, Saalfelden am Steinernen Meer, Bezirk Zell am See, Salzburg, 5760, Österreich"
1118,"Seekirchen am Wallersee, Bezirk Salzburg-Umgebung, Salzburg, 5201, Österreich"
1121,"Traun, Bezirk Linz-Land, Oberösterreich, 4050, Österreich"
1126,"Gemeinde Waidhofen an der Ybbs, Waidhofen an der Ybbs, Niederösterreich, 3340, Österreich"
1180,
1190,"Maurach, Gemeinde Ainet, Bezirk Lienz, Tirol, 9951, Österreich"
1193,"Stadt Hall in Tirol, Bezirk Innsbruck-Land, Tirol, Österreich"
1199,"Gemeinde Absam, Bezirk Innsbruck-Land, Tirol, 6067, Österreich"
1200,"Abtenau, Bezirk Hallein, Salzburg, 5441, Österreich"
1201,"Gemeinde Achenkirch, Bezirk Schwaz, Tirol, 6215, Österreich"
1202,"Admont, Bezirk Liezen, Steiermark, 8911, Österreich"
1203,"Knittelfeld, Bezirk Murtal, Steiermark, 8720, Österreich"
1204,"Gemeinde Alberschwende, Bezirk Bregenz, Vorarlberg, 6861, Österreich"
1205,"Übergossene Alm, Maria Alm am Steinernen Meer, Bezirk Zell am See, Salzburg, 5761, Österreich"
1206,"Gemeinde Alpbach, Bezirk Kufstein, Tirol, 6236, Österreich"
1207,"Altach, Gemeinde Altach, Bezirk Feldkirch, Vorarlberg, 6844, Österreich"
1208,"Altenmarkt im Pongau, Bezirk St. Johann im Pongau, Salzburg, 5541, Österreich"
1209,"Althofen, Bezirk Sankt Veit an der Glan, Kärnten, 9330, Österreich"
1214,"Anif, Bezirk Salzburg-Umgebung, Salzburg, 5081, Österreich"
1215,"Annaberg im Lammertal, Annaberg-Lungötz, Bezirk Hallein, Salzburg, 5524, Österreich"
1216,"Anthering, Bezirk Salzburg-Umgebung, Salzburg, 5102, Österreich"
1217,"Apetlon, Bezirk Neusiedl am See, Burgenland, 7143, Österreich"
1218,"Arnoldstein, Bezirk Villach-Land, Kärnten, Österreich"
1219,"Gemeinde Arzl im Pitztal, Bezirk Imst, Tirol, 6471, Österreich"
1220,"Aspach, Bezirk Braunau am Inn, Oberösterreich, 5252, Österreich"
1221,"Sankt Georgen im Attergau, Bezirk Vöcklabruck, Oberösterreich, 4880, Österreich"
1222,"Seewalchen, Seekirchen am Wallersee, Bezirk Salzburg-Umgebung, Salzburg, 5201, Österreich"
1223,"Nußdorf am Attersee, Bezirk Vöcklabruck, Oberösterreich, 4865, Österreich"
1224,"Au (Bregenz) Schrecken, Bregenzerwaldstraße, Au, Gemeinde Au, Bezirk Bregenz, Vorarlberg, 6883, Österreich"
1225,
1226,"Bad Wimsbach-Neydharting, Bezirk Wels-Land, Oberösterreich, 4654, Österreich"
1227,"Bergheim, Bezirk Salzburg-Umgebung, Salzburg, 5101, Österreich"
1228,"Bernhardsthal, Bezirk Mistelbach, Niederösterreich, 2275, Österreich"
1229,"Marktgemeinde Bezau, Bezirk Bregenz, Vorarlberg, 6870, Österreich"
1231,"Bleiburg, Bezirk Völkermarkt, Kärnten, 9150, Österreich"
1233,"Marktgemeinde Schruns, Bezirk Bludenz, Vorarlberg, 6780, Österreich"
1234,"Bramberg am Wildkogel, Gemeinde Bramberg am Wildkogel, Bezirk Zell am See, Salzburg, 5733, Österreich"
1235,"Gemeinde Brandenberg, Bezirk Kufstein, Tirol, 6234, Österreich"
1236,"Breitenau, Bezirk Neunkirchen, Niederösterreich, 2624, Österreich"
1237,"Gemeinde Brixen im Thale, Bezirk Kitzbühel, Tirol, 6364, Österreich"
1238,"Bruck a.d.G. Gartenweg, Glocknerstraße, Krössenbach, Pichl, Bruck an der Großglocknerstraße, Bezirk Zell am See, Salzburg, 5671.0, Österreich"
1239,"Gemeinde Bruck an der Leitha, Bezirk Bruck an der Leitha, Niederösterreich, 2460, Österreich"
1240,
1241,"Buch bei Jenbach, Maurach, Gemeinde Buch in Tirol, Bezirk Schwaz, Tirol, 6220, Österreich"
1242,"Gemeinde Sankt Jakob in Defereggen, Bezirk Lienz, Tirol, 9963, Österreich"
1243,"Deutschlandsberg, Bezirk Deutschlandsberg, Steiermark, Österreich"
1244,"Sarleinsbach, Bezirk Rohrbach, Oberösterreich, 4152, Österreich"
1245,"Gemeinde Donnerskirchen, Bezirk Eisenstadt-Umgebung, Burgenland, 7082, Österreich"
1246,"Gemeinde Draßmarkt, Bezirk Oberpullendorf, Burgenland, 7372, Österreich"
1247,"Paternion, Bezirk Villach-Land, Kärnten, 9711, Österreich"
1248,"Nickelsdorf, Bezirk Neusiedl am See, Burgenland, 2425, Österreich"
1250,"Zurndorf, Bezirk Neusiedl am See, Burgenland, 2424, Österreich"
1251,"Eberndorf, Bezirk Völkermarkt, Kärnten, 9141, Österreich"
1252,"Eberschwang, Bezirk Ried im Innkreis, Oberösterreich, 4906, Österreich"
1253,"Edelschrott, Bezirk Voitsberg, Steiermark, 8583, Österreich"
1254,"Lambach, Bezirk Wels-Land, Oberösterreich, 4650, Österreich"
1255,"Eggenburg, Gemeinde Eggenburg, Bezirk Horn, Niederösterreich, 3730, Österreich"
1257,"Ternberg, Bezirk Steyr-Land, Oberösterreich, 4452, Österreich"
1259,"Gemeinde Erl, Bezirk Kufstein, Tirol, Österreich"
1260,"Eugendorf, Bezirk Salzburg-Umgebung, Salzburg, 5301, Österreich"
1261,"Faistenau, Bezirk Salzburg-Umgebung, Salzburg, 5324, Österreich"
1262,"Fehring, Bezirk Südoststeiermark, Steiermark, 8350, Österreich"
1263,"Feldbach, Bezirk Südoststeiermark, Steiermark, 8330, Österreich"
1265,"Feldkirchen, Revier Renzlhausen, Altheim, Feldkirchen bei Mattighofen, Bezirk Braunau am Inn, Oberösterreich, 5143, Österreich"
1266,"Kalsdorf, Bezirk Graz-Umgebung, Steiermark, 8401, Österreich"
1267,"Finkenstein, Finkenstein am Faaker See, Bezirk Villach-Land, Kärnten, 9584, Österreich"
1268,"Marktgemeinde Frastanz, Bezirk Feldkirch, Vorarlberg, 6820, Österreich"
1269,"Frauenkirchen, Bezirk Neusiedl am See, Burgenland, 7132, Österreich"
1270,"Rust, Burgenland, 7071, Österreich"
1272,
1273,"Fürstenfeld, Fehringer Straße, Mitterbreiten, Wolfsbichl, Übersbach, Fürstenfeld, Bezirk Hartberg-Fürstenfeld, Steiermark, 8280, Österreich"
1274,"Marktgemeinde Fulpmes, Bezirk Innsbruck-Land, Tirol, 6166, Österreich"
1275,"Gamlitz, Bezirk Leibnitz, Steiermark, 8462, Österreich"
1276,"Gampern, Bezirk Vöcklabruck, Oberösterreich, 4851, Österreich"
1277,"Gastein, Schlößl, Nußdorf am Haunsberg, Bezirk Salzburg-Umgebung, Salzburg, 5151, Österreich"
1278,"Geretsberg, Bezirk Braunau am Inn, Oberösterreich, 5132, Österreich"
1279,
1280,"Gnas, Bezirk Südoststeiermark, Steiermark, 8342, Österreich"
1281,"Going, Gemeinde Going am Wilden Kaiser, Bezirk Kitzbühel, Tirol, 6353, Österreich"
1282,"Grafenstein, Bezirk Klagenfurt-Land, Kärnten, 9131, Österreich"
1283,"Gramastetten, Bezirk Urfahr-Umgebung, Oberösterreich, 4201, Österreich"
1284,"Gratkorn, Bezirk Graz-Umgebung, Steiermark, 8101, Österreich"
1285,"Gratwein, Gratwein-Straßengel, Bezirk Graz-Umgebung, Steiermark, 8112, Österreich"
1286,"Graz-Andritz, Wasserwerkgasse, Unterandritz, Andritz, Graz, Steiermark, 8046, Österreich"
1287,"Mariatrost, Graz, Steiermark, 8044, Österreich"
1288,"Sankt Peter, Peterstalstraße, Sankt Peter, Graz, Steiermark, 8042, Österreich"
1289,"Graz-Strassgang, Klusemannstraße, Hart, Straßgang, Graz, Steiermark, 8053, Österreich"
1290,"Grein, Bezirk Perg, Oberösterreich, 4360, Österreich"
1291,"Gröbming, Wiesackstraße, Gröbming, Politische Expositur Gröbming, Bezirk Liezen, Steiermark, 8962, Österreich"
1292,
1293,"Straßenmeisterei Großgerungs, Groß Gerungs, Gemeinde Groß Gerungs, Bezirk Zwettl, Niederösterreich, 3920, Österreich"
1294,"Groß Sankt Florian, Bezirk Deutschlandsberg, Steiermark, 8522, Österreich"
1295,"Großarl, Bezirk St. Johann im Pongau, Salzburg, 5611, Österreich"
1296,"Steinbach, Groß-Hofbauer, Gasen, Bezirk Weiz, Steiermark, 8616, Österreich"
1297,"Großwilfersdorf, Bezirk Hartberg-Fürstenfeld, Steiermark, 8263, Österreich"
1298,
1299,"Gunskirchen, Bezirk Wels-Land, Oberösterreich, 4623, Österreich"
1300,"Straßburg, Bezirk Sankt Veit an der Glan, Kärnten, 9341, Österreich"
1301,"Halbenrain, Bezirk Südoststeiermark, Steiermark, 8492, Österreich"
1303,"Handenberg, Bezirk Braunau am Inn, Oberösterreich, 5144, Österreich"
1304,"Hartberg, Bezirk Hartberg-Fürstenfeld, Steiermark, 8230, Österreich"
1305,"Hatzendorf, Fehring, Bezirk Südoststeiermark, Steiermark, 8350, Österreich"
1306,
1307,"Halbturn, Bezirk Neusiedl am See, Burgenland, 7131, Österreich"
1308,"Sankt Andrae, Patriasdorfer Straße, Patriasdorf, Stadt Lienz, Bezirk Lienz, Tirol, 9900, Österreich"
1309,"Kirchbach in Steiermark, Kirchbach-Zerlach, Bezirk Südoststeiermark, Steiermark, 8082, Österreich"
1310,"Helfenberg, Bezirk Rohrbach, Oberösterreich, 4184, Österreich"
1311,
1312,"Henndorf am Wallersee, Bezirk Salzburg-Umgebung, Salzburg, 5302, Österreich"
1313,"Bezirk Hermagor, Kärnten, Österreich"
1314,"Herzogenburg, Gemeinde Herzogenburg, Bezirk St. Pölten, Niederösterreich, 3130, Österreich"
1315,"Hinterstoder, Bezirk Kirchdorf, Oberösterreich, 4573, Österreich"
1316,"Gemeinde Hippach, Bezirk Schwaz, Tirol, 6283, Österreich"
1317,"Hitzendorf, Bezirk Graz-Umgebung, Steiermark, 8151, Österreich"
1318,"Hörsching, Lindenlacher Straße, Wagram, Hörsching, Bezirk Linz-Land, Oberösterreich, 4061, Österreich"
1319,"Hof bei Salzburg, Bezirk Salzburg-Umgebung, Salzburg, 5322, Österreich"
1321,"Gemeinde Hollabrunn, Bezirk Hollabrunn, Niederösterreich, Österreich"
1322,"Marktgemeinde Hopfgarten im Brixental, Bezirk Kitzbühel, Tirol, 6361, Österreich"
1323,"Gemeinde Horitschon, Bezirk Oberpullendorf, Burgenland, 7312, Österreich"
1324,
1325,
1326,"Illmitz, Bezirk Neusiedl am See, Burgenland, 7142, Österreich"
1327,"Ilz, Bezirk Hartberg-Fürstenfeld, Steiermark, 8262, Österreich"
1328,"Aschbach-Markt, Bezirk Amstetten, Niederösterreich, 3361, Österreich"
1333,"Ort im Innkreis, Bezirk Ried im Innkreis, Oberösterreich, 4974, Österreich"
1334,"Marktgemeinde Jenbach, Bezirk Schwaz, Tirol, 6200, Österreich"
